Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,WDS250G2B0C,WD,Blue SN550 NVMe PCIe M.2 250GB,111,172,5779,https://ssd.userbenchmark.com/SpeedTest/991678/WDC-WDS250G2B0C-00PXH0
SSD,AGAMMIXS11-240GT-C,XPG,Gammix S11 NVMe PCIe M.2 240GB,112,171,1897,https://ssd.userbenchmark.com/SpeedTest/497242/XPG-GAMMIX-S11
SSD,ASX6000PNP-256GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 256GB,113,169,8602,https://ssd.userbenchmark.com/SpeedTest/607866/ADATA-SX6000PNP
SSD,MZVPV128HDGM-00000,Samsung,SM951 NVMe PCIe M.2 128GB,114,167,1395,https://ssd.userbenchmark.com/SpeedTest/34737/NVMe-SAMSUNG-MZVPV128
SSD,WDS250G1B0C,WD,Blue SN500 NVMe PCIe M.2 250GB,115,167,2125,https://ssd.userbenchmark.com/SpeedTest/756076/WDC-WDS250G1B0C-00S6U0
SSD,CSSD-F240GBMP510,Corsair,Force NVMe PCIe M.2 240GB,116,165,17074,https://ssd.userbenchmark.com/SpeedTest/612603/Force-MP510
SSD,ASX8200NP-240GT-C,Adata,XPG SX8200 NVMe PCIe M.2 240GB,117,165,10029,https://ssd.userbenchmark.com/SpeedTest/480586/ADATA-SX8200NP
SSD,SKC1000/480G,Kingston,KC1000 NVMe PCIe M.2 480GB,118,164,873,https://ssd.userbenchmark.com/SpeedTest/316248/KINGSTON-SKC1000480G
SSD,,Toshiba,THNSN5512GPU7 NVMe PCIe M.2 512GB,119,162,10472,https://ssd.userbenchmark.com/SpeedTest/120558/NVMe-THNSN5512GPU7-NV
SSD,KXG50ZNV1T02,Toshiba,XG5 NVMe PCIe M.2 1TB,120,162,6793,https://ssd.userbenchmark.com/SpeedTest/359586/KXG50ZNV1T02-NVMe-TOSHIBA-1024GB
SSD,,Apple,SM0512G PCIe 500GB,121,161,1003,https://ssd.userbenchmark.com/SpeedTest/25611/APPLE-SSD-SM0512G
SSD,CSSD-F480GBMP500,Corsair,Force MP500 NVMe PCIe M.2 480GB,122,161,2927,https://ssd.userbenchmark.com/SpeedTest/223982/Force-MP500
SSD,RVD350-FHPX28-960G,OCZ,RevoDrive 350 PCIe 960GB,123,160,143,https://ssd.userbenchmark.com/SpeedTest/15245/OCZ-REVODRIVE350
SSD,2YY43AA#ABC,HP,EX900 NVMe PCIe M.2 250GB,124,158,7910,https://ssd.userbenchmark.com/SpeedTest/455743/HP-SSD-EX900-250GB
SSD,MDNVME80-BPX-0512,MyDigitalSSD,BPX NVMe PCIe M.2 480GB,125,158,1363,https://ssd.userbenchmark.com/SpeedTest/206552/BPX
SSD,SSDPEDME400G401,Intel,DC P3600 Series NVMe PCIe 400GB,126,158,40,https://ssd.userbenchmark.com/SpeedTest/22744/NVMe-INTEL-SSDPEDME40
SSD,SSDPEKNW512G8X1,Intel,660p NVMe PCIe M.2 512GB,127,157,105188,https://ssd.userbenchmark.com/SpeedTest/557263/INTEL-SSDPEKNW512G8
SSD,MZHPV128HDGM-00000,Samsung,SM951 AHCI PCIe M.2 128GB,128,157,1899,https://ssd.userbenchmark.com/SpeedTest/26719/SAMSUNG-MZHPV128HDGM-00000
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB 1TB,129,156,2033,https://ssd.userbenchmark.com/SpeedTest/39907/NVMe-PM951-NVMe-SAMSU
SSD,PH480GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 480GB,130,155,736,https://ssd.userbenchmark.com/SpeedTest/184918/Patriot-Hellfire-M2
SSD,SB-ROCKET-256,Sabrent,Rocket NVMe PCIe M.2 256GB,131,154,7780,https://ssd.userbenchmark.com/SpeedTest/759740/NVMe-Sabrent
SSD,CSSD-F240GBMP500,Corsair,Force MP500 NVMe PCIe M.2 240GB,132,153,10350,https://ssd.userbenchmark.com/SpeedTest/213562/Force-MP500
SSD,,Toshiba,THNSN5128GPU7 NVMe PCIe M.2 128GB,133,152,2033,https://ssd.userbenchmark.com/SpeedTest/38688/NVMe-THNSN5128GPU7-TO
SSD,ASX8000NP-512GM-C,Adata,XPG SX8000 NVMe PCIe M.2 512GB,134,151,1311,https://ssd.userbenchmark.com/SpeedTest/218488/NVMe-ADATA-SX8000NP
SSD,MDNVME80-BPX-0256,MyDigitalSSD,BPX NVMe PCIe M.2 240GB,135,151,1121,https://ssd.userbenchmark.com/SpeedTest/211350/BPX
SSD,MKNSSDPL120GB-D8,Mushkin,Pilot NVMe PCIe M.2 120GB,136,150,142,https://ssd.userbenchmark.com/SpeedTest/533910/MKNSSDPL120GB-D8
